model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
JCBgma20,Set11,10,1,5,500.0,0.1,1,100,0.04,27.739998,27.018831,140.68468,159.46066,590.19293,0.00015273145,0.0065625156,0,99
JCBgma30,Set11,10,1,5,500.0,0.1,1,100,0.04,27.704994,27.015972,141.66571,159.42665,618.1521,0.00015983546,0.0071207,0,99
smtADV,Set11,10,1,5,500.0,0.1,1,100,0.04,27.161934,26.523344,157.48805,176.51605,517.44104,0.0001955586,0.0053270794,0,99
STH,Set11,10,1,5,500.0,0.1,1,100,0.04,27.303133,26.672283,150.91711,167.61107,424.10822,0.0001518486,0.004023347,0,99
ISTA,Set11,10,1,5,500.0,3.0,0,0,0.0,27.775072,21.606752,139.83571,481.6432,0.0,0.0031615363,0.0,0,0
ADV,Set11,10,1,5,500.0,3.0,0,0,0.0,27.179253,22.210793,157.95818,421.57364,0.0,0.0021622798,0.0,0,0
JCBgma10,Set11,10,1,5,500.0,3.0,0,0,0.0,27.654255,21.628975,142.7737,493.0621,0.0,0.0031715631,0.0,0,0
JCBgma20,Set11,10,1,5,500.0,3.0,0,0,0.0,27.739998,21.49202,140.68468,499.0212,0.0,0.0033215734,0.0,0,0
JCBgma30,Set11,10,1,5,500.0,3.0,0,0,0.0,27.704994,21.259142,141.66571,524.0721,0.0,0.0035892224,0.0,0,0
smtADV,Set11,10,1,5,500.0,3.0,0,0,0.0,27.161934,21.884895,157.48805,448.93542,0.0,0.0024923144,0.0,0,0
STH,Set11,10,1,5,500.0,3.0,0,0,0.0,27.303133,22.154047,150.91711,438.43085,0.0,0.0024677028,0.0,0,0
ISTA,Set11,10,1,5,500.0,3.0,1,100,0.04,27.775072,22.411974,139.83571,411.9333,844.0666,0.0024277533,0.008819725,0,99
ADV,Set11,10,1,5,500.0,3.0,1,100,0.04,27.179253,22.87461,157.95818,378.58606,698.9948,0.0017764717,0.006607187,0,99
JCBgma10,Set11,10,1,5,500.0,3.0,1,100,0.04,27.654255,22.271025,142.7737,433.5967,874.7183,0.002580317,0.009198784,0,99
JCBgma20,Set11,10,1,5,500.0,3.0,1,100,0.04,27.739998,22.281855,140.68468,427.89667,857.9443,0.0025817286,0.009073544,0,99
JCBgma30,Set11,10,1,5,500.0,3.0,1,100,0.04,27.704994,22.019436,141.66571,449.61737,900.5586,0.0028075571,0.009723992,0,99
smtADV,Set11,10,1,5,500.0,3.0,1,100,0.04,27.161934,22.632105,157.48805,392.73047,728.39453,0.0019635186,0.0070826192,0,99
STH,Set11,10,1,5,500.0,3.0,1,100,0.04,27.303133,22.606428,150.91711,402.63937,654.61945,0.0021487358,0.0059683803,0,99
ISTA,Set11,10,1,5,500.0,5.0,0,0,0.0,27.775072,21.164219,139.83571,553.48785,0.0,0.0040287194,0.0,0,0
ADV,Set11,10,1,5,500.0,5.0,0,0,0.0,27.179253,21.982067,157.95818,459.0837,0.0,0.0025841424,0.0,0,0
