model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
ADV,BSD68,0.1,1,5,10000,10,1,250,0.1,28.074594,21.718279,153.77565,485.21692,487.33496,0.003390939,0.003418199,0,249
ordinary,BSD68,0.1,1,5,10000,15,0,0,0,27.881134,20.697176,160.30383,645.06287,0,0.005256543,0,0,0
JCBgma20,BSD68,0.1,1,5,10000,15,0,0,0,28.188646,20.479334,149.45824,652.426,0,0.005703576,0,0,0
ADV,BSD68,0.1,1,5,10000,15,0,0,0,28.071587,20.582424,153.85512,649.72076,0,0.005458731,0,0,0
smtADV,BSD68,0.1,1,5,10000,15,0,0,0,25.453108,21.05677,262.9202,608.47437,0,0.003446402,0,0,0
STH,BSD68,0.1,1,5,10000,15,0,0,0,26.445024,24.235771,190.3006,319.16223,0,0.000960091,0,0,0
smtADV,BSD68,0.1,1,5,10000,10,1,250,0.1,25.457468,20.156235,262.5675,683.28143,902.40314,0.007998607,0.015191589,0,249
ordinary,BSD68,0.1,1,5,10000,15,1,250,0.1,27.875008,20.465195,160.46826,669.5382,672.75287,0.005548506,0.00560439,0,249
STH,BSD68,0.1,1,5,10000,10,1,250,0.1,26.454758,23.56907,190.07141,360.33145,439.3464,0.001709846,0.003102784,0,249
JCBgma20,BSD68,0.1,1,5,10000,15,1,250,0.1,28.200632,20.593412,149.23705,637.0148,639.0702,0.005549162,0.005582002,0,249
ADV,BSD68,0.1,1,5,10000,15,1,250,0.1,28.083101,20.722904,153.69006,631.2728,634.28076,0.005210115,0.005256251,0,249
smtADV,BSD68,0.1,1,5,10000,15,1,250,0.1,25.459446,19.869265,262.67026,744.28204,975.8819,0.008707915,0.016094163,0,249
STH,BSD68,0.1,1,5,10000,15,1,250,0.1,26.432375,23.489975,190.77444,372.11197,448.70728,0.001809637,0.003177014,0,249
smtADV1,BSD68,0.1,1,5,10000,5,0,0,0,28.266212,24.270239,146.61804,279.26324,0,0.001348167,0,0,0
smtADV1,BSD68,0.1,1,5,10000,5,1,250,0.1,28.273125,20.49334,146.4962,602.5952,1109.4324,0.006060831,0.015116558,0,249
smtADV1,BSD68,0.1,1,5,10000,7.5,0,0,0,28.268806,22.819092,146.70384,373.96973,0,0.002583763,0,0,0
smtADV1,BSD68,0.1,1,5,10000,7.5,1,250,0.1,28.25942,20.105047,146.72594,657.7131,1195.783,0.006707172,0.016295616,0,249
