model_type,test_set,cs_ratio,atk_mode,atk_iter,atk_alp,atk_elp,smooth,smooth_sample,smooth_std,ord_psnr,atk_psnr,ord_loss,atk_loss,ub_loss,atk_dis,ub_dis,ql,qu
smtADV,BSD68,0.1,1,2,5000,5,1,250,0.1,25.458746,21.417526,262.53394,517.309,695.4383,0.00635512,0.012960995,0,249
STH,BSD68,0.1,1,2,5000,5,1,250,0.1,26.426708,24.421158,191.36855,293.99115,388.73752,0.001337647,0.002947729,0,249
smtADV,BSD68,0.1,1,2,5000,10,0,0,0,25.455263,24.826967,262.7838,293.16675,0,0.000120162,0,0,0
STH,BSD68,0.1,1,2,5000,10,0,0,0,26.446884,25.989264,190.30995,209.96252,0,5.21E-05,0,0,0
smtADV,BSD68,0.1,1,2,5000,10,1,250,0.1,25.444492,21.431868,263.0204,515.7342,698.6075,0.006343558,0.013069262,0,249
STH,BSD68,0.1,1,2,5000,10,1,250,0.1,26.424133,24.392435,191.00735,295.1033,390.509,0.00135339,0.002991271,0,249
smtADV,BSD68,0.1,1,2,5000,15,0,0,0,25.453682,24.811844,262.81622,294.38803,0,0.000127504,0,0,0
STH,BSD68,0.1,1,2,5000,15,0,0,0,26.448053,25.978914,190.31711,210.41286,0,5.51E-05,0,0,0
smtADV,BSD68,0.1,1,2,5000,15,1,250,0.1,25.457747,21.413101,262.69345,517.2496,696.12506,0.006343212,0.013043821,0,249
STH,BSD68,0.1,1,2,5000,15,1,250,0.1,26.442532,24.404558,190.57867,294.28497,389.11108,0.001352865,0.002968912,0,249
smtADV,BSD68,0.1,1,2,5000,20,0,0,0,25.450027,24.780682,263.03934,295.37396,0,0.000132572,0,0,0
STH,BSD68,0.1,1,2,5000,20,0,0,0,26.427465,25.968052,191.08667,211.05064,0,5.43E-05,0,0,0
smtADV,BSD68,0.1,1,2,5000,20,1,250,0.1,25.440098,21.404501,263.31137,518.7242,699.48517,0.0063498,0.013093629,0,249
STH,BSD68,0.1,1,2,5000,20,1,250,0.1,26.453571,24.43616,190.39574,293.19897,388.79172,0.00134346,0.002964165,0,249
ordinary,BSD68,0.1,1,2,5000,0.01,0,0,0,27.862585,27.855839,160.6558,160.80598,0,8.35E-07,0,0,0
